,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
57,"frozenset({'Pikachu', 'Captain Falcon'})","frozenset({'Fox', 'Falco'})",0.05263157894736842,0.15789473684210525,0.05263157894736842,1.0,6.333333333333334,0.0443213296398892,inf,0.8888888888888888
58,"frozenset({'Pikachu', 'Falco'})","frozenset({'Fox', 'Captain Falcon'})",0.05263157894736842,0.10526315789473684,0.05263157894736842,1.0,9.5,0.047091412742382266,inf,0.9444444444444443
59,frozenset({'Pikachu'}),"frozenset({'Fox', 'Captain Falcon', 'Falco'})",0.05263157894736842,0.10526315789473684,0.05263157894736842,1.0,9.5,0.047091412742382266,inf,0.9444444444444443
60,"frozenset({'Marth', 'Captain Falcon', 'Jigglypuff'})",frozenset({'Falco'}),0.05263157894736842,0.3157894736842105,0.05263157894736842,1.0,3.166666666666667,0.036011080332409975,inf,0.7222222222222222
61,"frozenset({'Pikachu', 'Captain Falcon', 'Jigglypuff'})",frozenset({'Falco'}),0.05263157894736842,0.3157894736842105,0.05263157894736842,1.0,3.166666666666667,0.036011080332409975,inf,0.7222222222222222
62,"frozenset({'Pikachu', 'Captain Falcon', 'Falco'})",frozenset({'Jigglypuff'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
63,"frozenset({'Pikachu', 'Jigglypuff', 'Falco'})",frozenset({'Captain Falcon'}),0.05263157894736842,0.21052631578947367,0.05263157894736842,1.0,4.75,0.04155124653739612,inf,0.8333333333333333
64,"frozenset({'Pikachu', 'Captain Falcon'})","frozenset({'Jigglypuff', 'Falco'})",0.05263157894736842,0.21052631578947367,0.05263157894736842,1.0,4.75,0.04155124653739612,inf,0.8333333333333333
65,"frozenset({'Pikachu', 'Jigglypuff'})","frozenset({'Captain Falcon', 'Falco'})",0.05263157894736842,0.15789473684210525,0.05263157894736842,1.0,6.333333333333334,0.0443213296398892,inf,0.8888888888888888
66,"frozenset({'Pikachu', 'Falco'})","frozenset({'Captain Falcon', 'Jigglypuff'})",0.05263157894736842,0.10526315789473684,0.05263157894736842,1.0,9.5,0.047091412742382266,inf,0.9444444444444443
67,frozenset({'Pikachu'}),"frozenset({'Captain Falcon', 'Jigglypuff', 'Falco'})",0.05263157894736842,0.10526315789473684,0.05263157894736842,1.0,9.5,0.047091412742382266,inf,0.9444444444444443
68,"frozenset({'Pikachu', 'Fox', 'Captain Falcon'})",frozenset({'Jigglypuff'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
69,"frozenset({'Pikachu', 'Fox', 'Jigglypuff'})",frozenset({'Captain Falcon'}),0.05263157894736842,0.21052631578947367,0.05263157894736842,1.0,4.75,0.04155124653739612,inf,0.8333333333333333
70,"frozenset({'Pikachu', 'Captain Falcon', 'Jigglypuff'})",frozenset({'Fox'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
71,"frozenset({'Jigglypuff', 'Fox', 'Captain Falcon'})",frozenset({'Pikachu'}),0.05263157894736842,0.05263157894736842,0.05263157894736842,1.0,19.0,0.04986149584487534,inf,0.9999999999999999
72,"frozenset({'Pikachu', 'Fox'})","frozenset({'Captain Falcon', 'Jigglypuff'})",0.05263157894736842,0.10526315789473684,0.05263157894736842,1.0,9.5,0.047091412742382266,inf,0.9444444444444443
73,"frozenset({'Pikachu', 'Captain Falcon'})","frozenset({'Fox', 'Jigglypuff'})",0.05263157894736842,0.3157894736842105,0.05263157894736842,1.0,3.166666666666667,0.036011080332409975,inf,0.7222222222222222
74,"frozenset({'Pikachu', 'Jigglypuff'})","frozenset({'Fox', 'Captain Falcon'})",0.05263157894736842,0.10526315789473684,0.05263157894736842,1.0,9.5,0.047091412742382266,inf,0.9444444444444443
75,frozenset({'Pikachu'}),"frozenset({'Jigglypuff', 'Fox', 'Captain Falcon'})",0.05263157894736842,0.05263157894736842,0.05263157894736842,1.0,19.0,0.04986149584487534,inf,0.9999999999999999
76,"frozenset({'Pikachu', 'Fox', 'Jigglypuff'})",frozenset({'Falco'}),0.05263157894736842,0.3157894736842105,0.05263157894736842,1.0,3.166666666666667,0.036011080332409975,inf,0.7222222222222222
77,"frozenset({'Pikachu', 'Fox', 'Falco'})",frozenset({'Jigglypuff'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
78,"frozenset({'Pikachu', 'Jigglypuff', 'Falco'})",frozenset({'Fox'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
79,"frozenset({'Pikachu', 'Fox'})","frozenset({'Jigglypuff', 'Falco'})",0.05263157894736842,0.21052631578947367,0.05263157894736842,1.0,4.75,0.04155124653739612,inf,0.8333333333333333
80,"frozenset({'Pikachu', 'Jigglypuff'})","frozenset({'Fox', 'Falco'})",0.05263157894736842,0.15789473684210525,0.05263157894736842,1.0,6.333333333333334,0.0443213296398892,inf,0.8888888888888888
81,"frozenset({'Pikachu', 'Falco'})","frozenset({'Fox', 'Jigglypuff'})",0.05263157894736842,0.3157894736842105,0.05263157894736842,1.0,3.166666666666667,0.036011080332409975,inf,0.7222222222222222
82,frozenset({'Pikachu'}),"frozenset({'Fox', 'Jigglypuff', 'Falco'})",0.05263157894736842,0.10526315789473684,0.05263157894736842,1.0,9.5,0.047091412742382266,inf,0.9444444444444443
83,"frozenset({'Yoshi', 'Fox', 'Jigglypuff'})",frozenset({'Falco'}),0.05263157894736842,0.3157894736842105,0.05263157894736842,1.0,3.166666666666667,0.036011080332409975,inf,0.7222222222222222
